
--- # Threads = 1 ---

12489
12414
12488
12725
12415
12486
12660
12488
12488
12414
12488
12487
12489
12488
12413
12486
12488
12487
12413
12413

--- # Threads = 2 ---

6375
6253
6376
6255
6373
6255
6374
6253
6256
6254
6254
6373
6256
6373
6376
6253
6253
6255
6256
6256

--- # Threads = 4 ---

4016
3134
3194
3135
3194
3196
3750
3135
3137
3134
3445
3135
3135
3134
3136
3195
3133
3195
3194
3136

--- # Threads = 8 ---

1612
1614
2045
1613
2044
2046
1612
2039
1612
2047
1612
1657
2045
1687
2046
1702
2045
2024
2045
1698

--- # Threads = 16 ---

1071
1061
1053
1047
1067
1043
1040
1054
1068
1044
1038
1070
1046
1054
1054
1059
1052
1058
1050
1040
