
--- # Threads = 1 ---

262000
257000
223000
232000
218000
250000
232000
263000
220000
221000
233000
265000
266000
286000
249000
269000
218000
235000
241000
234000

--- # Threads = 2 ---

279000
261000
289000
326000
283000
261000
331000
241000
290000
297000
254000
427000
300000
243000
278000
275000
330000
297000
262000
270000

--- # Threads = 4 ---

467000
524000
411000
552000
458000
595000
489000
468000
464000
393000
521000
436000
507000
505000
469000
425000
462000
507000
493000
420000

--- # Threads = 8 ---

962000
813000
745000
682000
725000
832000
807000
693000
976000
736000
701000
793000
695000
774000
999000
696000
737000
637000
712000
711000

--- # Threads = 16 ---

1284000
1429000
1347000
1268000
1945000
1561000
1449000
1261000
1253000
1226000
1423000
1467000
1186000
1188000
1269000
1212000
1247000
1287000
1261000
1301000
